time,temperature_2m,dew_point_2m,apparent_temperature,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,wind_speed_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm
2022-01-01T00:00:00,8.3,8.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,5.1,9.6,0.379
2022-01-01T01:00:00,9.1,8.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,9.2,0.378
2022-01-01T02:00:00,8.0,7.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,4.7,8.6,0.378
2022-01-01T03:00:00,8.0,7.9,6.9,0.0,0.0,0.0,0.0,0.0,0.0,4.3,8.4,0.377
2022-01-01T04:00:00,7.6,7.6,6.4,0.0,0.0,0.0,0.0,0.0,0.0,4.2,8.1,0.377
2022-01-01T05:00:00,7.8,7.7,6.5,0.0,0.0,0.0,0.0,0.0,0.0,5.1,8.0,0.377
2022-01-01T06:00:00,7.9,7.8,6.7,0.0,0.0,0.0,0.0,0.0,0.0,4.2,8.0,0.376
2022-01-01T07:00:00,7.6,7.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,8.0,0.376
2022-01-01T08:00:00,7.5,7.5,6.2,0.0,0.1,0.1,0.0,0.0,0.0,4.7,7.9,0.377
2022-01-01T09:00:00,7.7,7.7,5.8,0.0,0.1,0.1,0.0,0.0,0.0,9.1,7.9,0.377
2022-01-01T10:00:00,8.3,8.2,6.8,0.0,1.1,1.1,0.0,0.0,0.0,7.4,8.0,0.39
2022-01-01T11:00:00,8.5,8.4,7.3,0.0,1.1,1.1,0.0,0.0,0.0,5.2,8.1,0.403
2022-01-01T12:00:00,8.1,8.0,7.2,0.0,0.5,0.5,0.0,0.0,0.0,2.8,8.9,0.383
2022-01-01T13:00:00,9.2,9.2,8.0,0.0,0.7,0.7,0.0,0.0,0.0,6.9,8.8,0.391
2022-01-01T14:00:00,9.7,9.7,8.5,0.0,0.7,0.7,0.0,0.0,0.0,8.0,9.0,0.399
2022-01-01T15:00:00,10.0,10.0,8.5,0.0,0.8,0.8,0.0,0.0,0.0,10.4,9.2,0.407
2022-01-01T16:00:00,11.1,10.8,9.8,0.0,0.5,0.5,0.0,0.0,0.0,11.0,9.7,0.409
2022-01-01T17:00:00,11.3,11.0,9.8,0.0,0.6,0.6,0.0,0.0,0.0,12.5,10.0,0.412
2022-01-01T18:00:00,11.5,11.3,10.6,0.0,0.8,0.8,0.0,0.0,0.0,9.5,10.2,0.416
2022-01-01T19:00:00,11.7,11.4,10.8,0.0,0.4,0.4,0.0,0.0,0.0,9.2,10.4,0.414
2022-01-01T20:00:00,11.5,11.3,10.8,0.0,0.1,0.1,0.0,0.0,0.0,7.7,10.4,0.41
2022-01-01T21:00:00,11.0,11.0,10.5,0.0,0.3,0.3,0.0,0.0,0.0,5.9,10.4,0.409
2022-01-01T22:00:00,10.4,10.4,10.1,0.0,1.4,1.4,0.0,0.0,0.0,2.9,10.1,0.422
2022-01-01T23:00:00,10.2,10.2,9.8,0.0,0.8,0.8,0.0,0.0,0.0,3.3,9.8,0.421
2022-01-02T00:00:00,9.4,9.4,8.6,0.0,1.7,1.7,0.0,0.0,0.0,4.6,10.6,0.414
2022-01-02T01:00:00,10.7,10.6,10.0,0.0,1.2,1.2,0.0,0.0,0.0,6.1,10.3,0.421
2022-01-02T02:00:00,10.7,10.7,9.9,0.0,1.2,1.2,0.0,0.0,0.0,7.2,10.2,0.427
2022-01-02T03:00:00,10.8,10.7,9.2,0.0,3.3,3.3,0.0,0.0,0.0,12.9,10.2,0.43
2022-01-02T04:00:00,10.6,10.2,7.9,0.0,9.1,9.1,0.0,0.0,0.0,19.2,10.1,0.43
2022-01-02T05:00:00,10.6,10.2,7.7,0.0,7.8,7.8,0.0,0.0,0.0,20.6,10.0,0.43
2022-01-02T06:00:00,10.2,9.6,8.5,0.0,0.1,0.1,0.0,0.0,0.0,11.5,9.9,0.425
2022-01-02T07:00:00,9.6,9.4,7.8,0.0,0.1,0.1,0.0,0.0,0.0,11.8,9.7,0.424
2022-01-02T08:00:00,9.6,9.4,7.8,0.0,0.5,0.5,0.0,0.0,0.0,11.8,9.5,0.426
2022-01-02T09:00:00,9.7,9.3,8.4,0.0,0.1,0.1,0.0,0.0,0.0,8.0,9.4,0.423
2022-01-02T10:00:00,9.3,9.0,8.4,0.0,0.2,0.2,0.0,0.0,0.0,5.0,9.3,0.423
2022-01-02T11:00:00,8.7,8.6,7.7,0.0,0.0,0.0,0.0,0.0,0.0,4.6,9.1,0.42
